"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2025415,0.320323888889,0.302115246914
0.1,0.218148,0.333091111111,0.367131743827
0.15,0.234955,0.353061333333,0.452569444444
0.2,0.253134,0.379110277778,0.523530216049
0.25,0.2728565,0.407693611111,0.554580185185
0.3,0.293951,0.43561,0.558719475309
0.35,0.3164175,0.463431111111,0.559386419753
0.4,0.340256,0.491728611111,0.556210493827
0.45,0.365638,0.519263888889,0.55049382716
0.5,0.3922205,0.5462275,0.553669753086
0.55,0.420175,0.574525,0.558486574074
0.6,0.449673,0.602727222222,0.554622530864
0.65,0.480543,0.629690833333,0.556581018519
0.7,0.5126135,0.657226111111,0.576589351852
0.75,0.546056,0.688096111111,0.58654058642
0.8,0.5815565,0.71687,0.588022685185
0.85,0.6179145,0.74431,0.630791820988
0.9,0.6556445,0.777847777778,0.689811111111
0.95,0.6950895,0.820341666667,0.61141867284
1,0.738479,0.847114722222,0.392491512346
1.05,0.7808395,0.854736944444,0.268471604938
1.1,0.823886,0.862740277778,0.357979783951
1.15,0.8662465,0.886559722222,0.537800709877
1.2,0.912037,0.9218125,0.626721342593
1.25,0.958685,0.954206944444,0.604765108025
1.3,1.007391,0.985096,0.517723564815
1.35,1.0576405,1.00694319444,0.407508348765
1.4,1.1090905,1.02061555556,0.328909475309
