"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1819615,-0.015435,0.230932160494
0.1,0.1805895,-0.00200083333333,0.161850478395
0.15,0.1812755,0.00760316666667,0.0800015740741
0.2,0.182476,0.00238194444444,0.121309783951
0.25,0.1823045,-0.00695527777778,0.674916018519
0.3,0.17836,0.0504972222222,1.54335179012
0.35,0.1836765,0.176454444444,1.85871064815
0.4,0.197911,0.273256666667,1.4535154321
0.45,0.2135175,0.322324722222,0.951242746914
0.5,0.230496,0.355386111111,0.664350771605
0.55,0.2491895,0.381873333333,0.550758487654
0.6,0.2687405,0.4073125,0.531967592593
0.65,0.289835,0.434180833333,0.542712808642
0.7,0.31213,0.461716111111,0.555045987654
0.75,0.3359685,0.490108888889,0.559651080247
0.8,0.361179,0.51793,0.558380709877
0.85,0.3877615,0.545751111111,0.558698302469
0.9,0.415716,0.574048611111,0.554410802469
0.95,0.445214,0.601488611111,0.546259259259
1,0.4759125,0.628166388889,0.547741358025
1.05,0.507983,0.655701666667,0.560656790123
1.1,0.5414255,0.684285,0.577383333333
1.15,0.5764115,0.713058888889,0.611154012346
1.2,0.6127695,0.7434525,0.675360648148
1.25,0.6504995,0.778705277778,0.747242438272
1.3,0.689773,0.826725277778,0.657046141975
1.35,0.734363,0.8532125,0.413240895062
1.4,0.776209,0.859405555556,0.312616975309
1.45,0.819427,0.877317777778,0.352104320988
1.5,0.8638455,0.897326111111,0.383122530864
1.55,0.909636,0.912665833333,0.472122561728
1.6,0.9543975,0.940868055556,0.608279799383
1.65,1.0031035,0.980313055556,0.614917484568
1.7,1.05301,1.00836283333,0.508989768519
1.75,1.1042885,1.03028625,0.404554737654
1.8,1.156939,1.04386333333,0.324717253086
