"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.180418,0.0201988888889,-0.123575277778
0.1,0.18179,0.0131006944444,-0.122003194444
0.15,0.1812755,0.0110903333333,-0.118573194444
0.2,0.1836765,0.000190555555556,-0.0352580709877
0.25,0.1823045,-0.0181980555556,0.543522669753
0.3,0.1781885,0.0351575,1.43099811728
0.35,0.1823045,0.154159444444,1.7622683642
0.4,0.1953385,0.247531666667,1.38840895062
0.45,0.209573,0.293646111111,0.916201697531
0.5,0.225008,0.325373611111,0.66969691358
0.55,0.2419865,0.354909722222,0.572037191358
0.6,0.26068,0.381492222222,0.531861728395
0.65,0.280231,0.406359722222,0.533502623457
0.7,0.301154,0.433990277778,0.55393441358
0.75,0.3236205,0.462097222222,0.568649537037
0.8,0.3472875,0.491633333333,0.566902777778
0.85,0.372841,0.519930833333,0.543453858025
0.9,0.3994235,0.545560555556,0.528421141975
0.95,0.427378,0.571571388889,0.535672839506
1,0.456533,0.598439722222,0.555204783951
1.05,0.48706,0.628071111111,0.55864537037
1.1,0.5194735,0.655511111111,0.543400925926
1.15,0.5527445,0.680950277778,0.555257716049
1.2,0.5873875,0.709343055556,0.603531790123
1.25,0.623574,0.741070555556,0.658845833333
1.3,0.6614755,0.774417777778,0.708919598765
1.35,0.700406,0.816625833333,0.657734259259
1.4,0.743624,0.848734444444,0.454263271605
1.45,0.786499,0.858833888889,0.302771604938
1.5,0.8292025,0.871124722222,0.29882287037
1.55,0.873278,0.888751111111,0.326389907407
1.6,0.918554,0.901518333333,0.401786388889
1.65,0.9626295,0.926900333333,0.501605740741
1.7,1.010821,0.958494444444,0.488531512346
1.75,1.060213,0.976597222222,0.430105061728
