"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.180761,0.00133388888889,0.0230466358025
0.1,0.180761,0.00252486111111,0.019034382716
0.15,0.1809325,0.00451616666667,0.00042875
0.2,0.181447,0.00181027777778,-0.00175205246914
0.25,0.1809325,0.00381111111111,0.00128625
0.3,0.1819615,0.00114333333333,0.0342258950617
0.35,0.180418,0.00867027777778,0.132436111111
0.4,0.184534,-0.00161972222222,0.583417592593
0.45,0.17836,0.0326802777778,1.6034720679
0.5,0.1816185,0.178455277778,2.22367746914
0.55,0.197568,0.305936944444,1.8908933642
0.6,0.2155755,0.374918055556,1.32293194444
0.65,0.235641,0.422366388889,0.990359567901
0.7,0.2577645,0.464765,0.871897530864
0.75,0.2821175,0.507163611111,0.844055246914
0.8,0.3085285,0.5488,0.839556018519
0.85,0.3369975,0.590531666667,0.848977932099
0.9,0.3675245,0.633406666667,0.862846141975
0.95,0.400281,0.677329722222,0.865916203704
1,0.435267,0.720966944444,0.850724691358
1.05,0.4724825,0.762603333333,0.833892283951
1.1,0.5115845,0.803191666667,0.84379058642
1.15,0.5527445,0.845018611111,0.899792746914
1.2,0.5959625,0.891323611111,0.984695833333
1.25,0.6415815,0.943345277778,1.04387391975
1.3,0.6896015,1.00518055556,0.916572222222
1.35,0.743281,1.04414916667,0.630315432099
1.4,0.7952455,1.06006055556,0.498440401235
1.45,0.848925,1.08140277778,0.605003302469
1.5,0.9026045,1.11779888889,0.773306203704
1.55,0.9598855,1.1674005,0.791091388889
1.6,1.020082,1.2047875,0.669569876543
1.65,1.082165,1.22794,0.555702345679
