"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.180761,-0.008575,0.0891905864198
0.1,0.180418,-0.00900375,0.285806867284
0.15,0.179389,0.00457333333333,0.655495231481
0.2,0.1802465,0.0361102777778,1.33777939815
0.25,0.1795605,0.1363425,2.02939020062
0.3,0.1919085,0.274018888889,2.04365540123
0.35,0.2097445,0.3644375,1.56324367284
0.4,0.22981,0.423128611111,1.14539768519
0.45,0.2522765,0.469243055556,0.915248919753
0.5,0.2769725,0.509259722222,0.832516049383
0.55,0.303212,0.549085833333,0.836803549383
0.6,0.331681,0.592341944444,0.860040740741
0.65,0.3623795,0.636741388889,0.85792345679
0.7,0.395479,0.67914,0.843737654321
0.75,0.430465,0.718775555556,0.880366666667
0.8,0.467166,0.763270277778,0.990094907407
0.85,0.5064395,0.816721111111,1.08727824074
0.9,0.548114,0.879890277778,1.00470416667
0.95,0.5945905,0.935151388889,0.617505864198
1,0.6446685,0.937533333333,0.329978703704
1.05,0.688401,0.938581388889,0.570311604938
1.1,0.7355635,0.9904125,0.907716682099
1.15,0.7873565,1.04824611111,0.919541712963
1.2,0.8412075,1.0912545,0.74261087963
1.25,0.8971165,1.12089541667,0.557687299383
1.3,0.954569,1.13818833333,0.429311080247
