"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.180418,-0.0177216666667,0.151396388889
0.1,0.1792175,-0.0104329166667,0.155001064815
0.15,0.179046,-0.001029,0.136675972222
0.2,0.179389,0.00285833333333,0.114740910494
0.25,0.1788745,0.0132436111111,0.0419169290123
0.3,0.181447,0.0101947222222,-0.0747507098765
0.35,0.180418,-0.00152444444444,-0.0629362654321
0.4,0.180418,0.000476388888889,0.0170970679012
0.45,0.180418,0.00447805555556,0.0373171296296
0.5,0.1812755,0.00333472222222,0.0608189814815
0.55,0.1802465,0.0105758333333,0.057325462963
0.6,0.1823045,0.0153397222222,-0.0553669753086
0.65,0.1823045,0.00847972222222,-0.16805941358
0.7,0.184534,-0.0163877777778,0.0447805555556
0.75,0.179732,-0.01715,0.784400771605
0.8,0.178017,0.0695527777778,1.36395432099
0.85,0.1867635,0.159209166667,1.19986481481
0.9,0.1967105,0.201607777778,0.7417375
0.95,0.2076865,0.222378333333,0.430920216049
1,0.2190055,0.236288888889,0.302348148148
1.05,0.2313535,0.249246666667,0.273658950617
1.1,0.243873,0.262966666667,0.272070987654
1.15,0.257593,0.277544166667,0.256191358025
1.2,0.2718275,0.288596388889,0.241476234568
1.25,0.286405,0.300506111111,0.247933950617
1.3,0.30184,0.3129875,0.262702006173
1.35,0.317618,0.327183888889,0.271277006173
1.4,0.3345965,0.340808611111,0.266830709877
1.45,0.3517465,0.353671111111,0.26413117284
1.5,0.3699255,0.36701,0.264607561728
1.55,0.3884475,0.380348888889,0.262490277778
1.6,0.4079985,0.393116111111,0.262913734568
1.65,0.427721,0.406455,0.266883641975
1.7,0.448644,0.419984444444,0.267201234568
1.75,0.4697385,0.4330375,0.268789197531
1.8,0.491862,0.447519722222,0.259420216049
1.85,0.5146715,0.458857777778,0.252697839506
1.9,0.5376525,0.471910833333,0.260796450617
1.95,0.561834,0.485249722222,0.264448765432
2,0.586187,0.498683888889,0.266513117284
2.05,0.6117405,0.511451111111,0.284986419753
2.1,0.637294,0.52479,0.371159876543
2.15,0.6642195,0.544131388889,0.522704475309
2.2,0.691145,0.573286388889,0.672502314815
2.25,0.719271,0.6354075,0.37899382716
2.3,0.758373,0.631215277778,-0.2443875
2.35,0.7849555,0.581194444444,-0.340141666667
2.4,0.8137675,0.574429722222,-0.000741049382713
2.45,0.841379,0.588721388889,0.257408796296
2.5,0.8724205,0.612159722222,0.298484104938
2.55,0.9032905,0.623497777778,0.225067283951
2.6,0.9351895,0.628071111111,0.251797993827
2.65,0.9653735,0.644554166667,0.346969907407
2.7,0.999159,0.66885,0.343793981481
2.75,1.0329445,0.682379444444,0.282922067901
2.8,1.0679305,0.693050555556,0.241264506173
