"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.180761,-0.0152444444444,0.182965092593
0.1,0.179389,-0.00347763888889,0.117159907407
0.15,0.1805895,0.000343,0.041715787037
0.2,0.1799035,-0.00323944444444,0.0350992746914
0.25,0.1799035,-0.000190555555555,0.0965322685185
0.3,0.1795605,0.00790805555556,0.130234135802
0.35,0.1805895,0.0185791666667,0.0511324074074
0.4,0.182133,0.0152444444444,-0.0854853395062
0.45,0.1819615,0.0103852777778,-0.202465277778
0.5,0.1840195,-0.00895611111111,-0.172558641975
0.55,0.1816185,-0.0297266666667,0.305577006173
0.6,0.1781885,0.00619305555556,1.03873950617
0.65,0.179389,0.0961352777778,1.34770416667
0.7,0.1888215,0.171690555556,1.05186666667
0.75,0.1987685,0.205418888889,0.611789197531
0.8,0.209916,0.221997222222,0.347975617284
0.85,0.2210635,0.232668333333,0.255926697531
0.9,0.2330685,0.245054444444,0.244863888889
0.95,0.245588,0.257154722222,0.249204320988
1,0.2587935,0.269636111111,0.262066820988
1.05,0.2725135,0.282879722222,0.279269753086
1.1,0.2869195,0.298695833333,0.274770524691
1.15,0.302526,0.311939444444,0.243275925926
1.2,0.318304,0.321848333333,0.232848302469
1.25,0.3345965,0.3335675,0.253703549383
1.3,0.351575,0.347096944444,0.278952160494
1.35,0.3692395,0.362150833333,0.289326851852
1.4,0.3877615,0.377490555556,0.270271296296
1.45,0.407141,0.389876666667,0.238617901235
1.5,0.4268635,0.400166666667,0.22893132716
1.55,0.4471005,0.411314166667,0.246875308642
1.6,0.467852,0.425034166667,0.264819290123
1.65,0.4896325,0.438658888889,0.267889351852
1.7,0.511756,0.451711944444,0.270218364198
1.75,0.534737,0.465813055556,0.268895061728
1.8,0.558404,0.478770833333,0.264078240741
1.85,0.5825855,0.492109722222,0.261855092593
1.9,0.6076245,0.505162777778,0.261855092593
1.95,0.633178,0.516977222222,0.299225154321
2,0.659246,0.532031111111,0.399266820988
2.05,0.6861715,0.553563888889,0.533237962963
2.1,0.7136115,0.591198611111,0.520851851852
2.15,0.745339,0.6234025,0.185897530864
2.2,0.778267,0.613207777778,-0.193149228395
2.25,0.807765,0.582433055556,-0.177851851852
2.3,0.8346905,0.581956666667,0.101841358025
2.35,0.8648745,0.602346111111,0.244228703704
2.4,0.895573,0.615494444444,0.226125925926
2.45,0.9269575,0.620639444444,0.256561882716
2.5,0.95697,0.636360277778,0.358826697531
2.55,0.9900695,0.661608888889,0.374415200617
2.6,1.0236835,0.678187222222,0.303856712963
2.65,1.0579835,0.691430833333,0.233509953704
2.7,1.0929695,0.700625138889,0.174781790123
2.75,1.12847,0.706389444444,0.138840895062
