"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.192766,0.497921666667,0.862687345679
0.1,0.216433,0.53508,1.0181753858
0.15,0.2437015,0.591675,1.202215
0.2,0.275086,0.658655277778,1.32769583333
0.25,0.309729,0.728589166667,1.38031033951
0.3,0.3479735,0.797760833333,1.39830725309
0.35,0.3894765,0.867504166667,1.42609660494
0.4,0.434581,0.940201111111,1.45653256173
0.45,0.4834585,1.01375555556,1.47950509259
0.5,0.5359375,1.0881675,1.50628873457
0.55,0.592361,1.16286527778,1.54662299383
0.6,0.6518715,1.24308916667,1.55297484568
0.65,0.716184,1.32817222222,1.37641453704
0.7,0.786156,1.3865775,1.10645024691
0.75,0.8559565,1.42611777778,1.05226895062
0.8,0.9273005,1.48456116667,1.13552055556
0.85,1.003961,1.54854972222,1.09463050926
0.9,1.085252,1.59418777778,1.00854703704
