"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1812755,-0.001715,0.0223585185185
0.1,0.181104,0,0.00296949074074
0.15,0.1812755,-5.71666666666E-05,-0.0181662962963
0.2,0.1812755,-0.00200083333333,-0.0320556790123
0.25,0.1812755,-0.00733638888889,0.0304783024691
0.3,0.1799035,9.52777777778E-05,0.111983148148
0.35,0.1812755,0.00581194444444,0.197701388889
0.4,0.1802465,0.0183886111111,0.420227932099
0.45,0.184534,0.0220091666667,1.1618066358
0.5,0.1788745,0.101185,2.44302808642
0.55,0.1881355,0.300029722222,3.06413333333
0.6,0.211288,0.463526388889,2.61135216049
0.65,0.2378705,0.565664166667,1.95202993827
0.7,0.268569,0.641791111111,1.55705061728
0.75,0.302183,0.709914722222,1.42985478395
0.8,0.3393985,0.780801388889,1.42546141975
0.85,0.3802155,0.852640833333,1.43705354938
0.9,0.424634,0.9252425,1.44017654321
0.95,0.4728255,0.996605555556,1.44404058642
1,0.5242755,1.068445,1.46833641975
1.05,0.5794985,1.14361916667,1.48628040123
1.1,0.638666,1.21831694444,1.47421188272
1.15,0.7012635,1.29330055556,1.41651589506
1.2,0.76832,1.36161472222,1.31398641975
1.25,0.8377775,1.42354527778,1.16906891975
1.3,0.9104935,1.48871527778,0.645194645062
1.35,0.9862965,1.52539722222,-0.75246683642
1.4,1.066387,1.482446,-3.29497550926
1.45,1.150079,1.17548958333,-5.53560183642
1.5,1.174089,0.807765,-6.7235516358
