"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.179732,0.02058,-0.0244228703704
0.1,0.1805895,0.01929375,0.0452251851852
0.15,0.1819615,0.0197796666667,0.287437175926
0.2,0.183848,0.0125766666667,1.12285390432
0.25,0.1785315,0.100994444444,2.4898041821
0.3,0.187964,0.301077777778,3.09379648148
0.35,0.2111165,0.465431944444,2.62622608025
0.4,0.2378705,0.567474444444,1.95970509259
0.45,0.268569,0.6439825,1.56980725309
0.5,0.3023545,0.713249444444,1.44303487654
0.55,0.3397415,0.784993611111,1.42800216049
0.6,0.3809015,0.856070833333,1.43345416667
0.65,0.42532,0.928005555556,1.45155694444
0.7,0.473683,1.00041666667,1.49088549383
0.75,0.5253045,1.07559083333,1.55419228395
0.8,0.581042,1.15514777778,1.60071959877
0.85,0.6402095,1.24308916667,1.4836337963
0.9,0.7060655,1.31578611111,1.12808888889
0.95,0.7732935,1.3557075,0.77816537037
1,0.842065,1.3848625,0.567088040123
1.05,0.9128945,1.40344166667,0.442300617284
