"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1826475,-0.0112427777778,2.76073712963
0.1,0.177331,0.118001527778,2.86565384259
0.15,0.1867635,0.285947666667,2.73070875
0.2,0.2080295,0.418650555556,2.13844091049
0.25,0.231868,0.498016944444,1.54270072531
0.3,0.258279,0.556803333333,1.24018848765
0.35,0.287434,0.612921944444,1.15667222222
0.4,0.3195045,0.670565,1.15058503086
0.45,0.3544905,0.728398611111,1.15132608025
0.5,0.392392,0.785660555556,1.1531787037
0.55,0.4330375,0.843208333333,1.1621242284
0.6,0.4765985,0.902471111111,1.16466496914
0.65,0.523418,0.959637777778,1.17694521605
0.7,0.5726385,1.01737611111,1.23141234568
0.75,0.6247745,1.08178388889,1.27342984568
0.8,0.680169,1.15429027778,1.13057140432
0.85,0.7413945,1.20497805556,0.807145694444
0.9,0.8021055,1.2263965,0.63453412037
0.95,0.8631595,1.25885763889,0.620538873457
1,0.9290155,1.29006111111,0.618786820988
