"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.205457,0.516405555556,0.213189320988
0.1,0.2313535,0.521169444444,0.39103058642
0.15,0.2563925,0.542568833333,0.656908518519
0.2,0.284347,0.586911111111,0.918244876543
0.25,0.314874,0.640647777778,1.07315595679
0.3,0.3483165,0.698100277778,1.13303274691
0.35,0.3846745,0.755743333333,1.14238055556
0.4,0.423948,0.812624166667,1.13989274691
0.45,0.4659655,0.869028611111,1.14762083333
0.5,0.510727,0.927338611111,1.16021867284
0.55,0.558747,0.985172222222,1.17677583333
0.6,0.6093395,1.04310111111,1.21391299383
0.65,0.662676,1.10741361111,1.20400410494
0.7,0.719614,1.17380316667,1.01070666667
0.75,0.7815255,1.21450583333,0.710973364198
0.8,0.8432655,1.23022666667,0.481745617284
