"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2461025,0.570713888889,0.658390617284
0.1,0.273714,0.598916111111,0.786417484568
0.15,0.3040695,0.6419245,0.948331481481
0.2,0.3373405,0.695813611111,1.07258429012
0.25,0.3736985,0.753551944444,1.12029728395
0.3,0.4128005,0.809384722222,1.12817358025
0.35,0.4546465,0.865312777778,1.1488912037
0.4,0.4992365,0.923146388889,1.18906666667
0.45,0.546742,0.984791111111,1.22686018519
0.5,0.597849,1.04624527778,1.25120895062
0.55,0.651357,1.10798527778,1.27905123457
0.6,0.7077805,1.18182555556,1.15350688272
0.65,0.770721,1.23270388889,0.865921496914
0.7,0.8322895,1.26147777778,0.700942731481
0.75,0.8964305,1.2929385,0.720982824074
0.8,0.9609145,1.33317430556,0.769272777778
0.85,1.0312295,1.37352444444,0.7966175
